manufacturer	device_type	firmware_version	mask	description
KAM	11	1	4096	Flow sensor V1, Signal too low (Air)
KAM	11	1	8192	Flow sensor V2, Signal too low (Air)
KAM	11	1	16384	Flow sensor V1, Wrong flow direction
KAM	11	1	32768	Flow sensor V2, Wrong flow direction
KAM	11	5	1	Supply voltage has been cut off
KAM	11	5	2	Flow sensor error
KAM	11	5	4	Temperature sensor T2 outside measuring range
KAM	11	5	8	Temperature sensor T1 outside measuring range
KAM	11	5	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	11	5	32	Temperature sensor T3 outside measuring range
KAM	11	5	64	Leak in the cold-water system
KAM	11	5	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	11	5	256	Leak in the heating system
KAM	11	5	512	Burst in the heating system
KAM	11	5	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	11	5	2048	Flow sensor V1, Wrong meter factor
KAM	11	5	4096	Flow sensor V1, Signal too low (Air)
KAM	11	5	8192	Flow sensor V2, Signal too low (Air)
KAM	11	5	16384	Flow sensor V1, Wrong flow direction
KAM	11	5	32768	Flow sensor V2, Wrong flow direction
KAM	11	6	1	Supply voltage has been cut off
KAM	11	6	2	Flow sensor error
KAM	11	6	4	Temperature sensor T2 outside measuring range
KAM	11	6	8	Temperature sensor T1 outside measuring range
KAM	11	6	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	11	6	32	Temperature sensor T3 outside measuring range
KAM	11	6	64	Leak in the cold-water system
KAM	11	6	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	11	6	256	Leak in the heating system
KAM	11	6	512	Burst in the heating system
KAM	11	6	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	11	6	2048	Flow sensor V1, Wrong meter factor
KAM	11	6	4096	Flow sensor V1, Signal too low (Air)
KAM	11	6	8192	Flow sensor V2, Signal too low (Air)
KAM	11	6	16384	Flow sensor V1, Wrong flow direction
KAM	11	6	32768	Flow sensor V2, Wrong flow direction
KAM	11	7	1	Supply voltage has been cut off
KAM	11	7	2	Flow sensor error
KAM	11	7	4	Temperature sensor T2 outside measuring range
KAM	11	7	8	Temperature sensor T1 outside measuring range
KAM	11	7	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	11	7	32	Temperature sensor T3 outside measuring range
KAM	11	7	64	Leak in the cold-water system
KAM	11	7	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	11	7	256	Leak in the heating system
KAM	11	7	512	Burst in the heating system
KAM	11	7	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	11	7	2048	Flow sensor V1, Wrong meter factor
KAM	11	7	4096	Flow sensor V1, Signal too low (Air)
KAM	11	7	8192	Flow sensor V2, Signal too low (Air)
KAM	11	7	16384	Flow sensor V1, Wrong flow direction
KAM	11	7	32768	Flow sensor V2, Wrong flow direction
KAM	11	8	1	Supply voltage has been cut off
KAM	11	8	2	Flow sensor error
KAM	11	8	4	Temperature sensor T2 outside measuring range
KAM	11	8	8	Temperature sensor T1 outside measuring range
KAM	11	8	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	11	8	32	Temperature sensor T3 outside measuring range
KAM	11	8	64	Leak in the cold-water system
KAM	11	8	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	11	8	256	Leak in the heating system
KAM	11	8	512	Burst in the heating system
KAM	11	8	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	11	8	2048	Flow sensor V1, Wrong meter factor
KAM	11	8	4096	Flow sensor V1, Signal too low (Air)
KAM	11	8	8192	Flow sensor V2, Signal too low (Air)
KAM	11	8	16384	Flow sensor V1, Wrong flow direction
KAM	11	8	32768	Flow sensor V2, Wrong flow direction
KAM	11	11	1	Supply voltage has been cut off
KAM	11	11	2	Flow sensor error
KAM	11	11	4	Temperature sensor T2 outside measuring range
KAM	11	11	8	Temperature sensor T1 outside measuring range
KAM	11	11	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	11	11	32	Temperature sensor T3 outside measuring range
KAM	11	11	64	Leak in the cold-water system
KAM	11	11	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	11	11	256	Leak in the heating system
KAM	11	11	512	Burst in the heating system
KAM	11	11	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	11	11	2048	Flow sensor V1, Wrong meter factor
KAM	11	11	4096	Flow sensor V1, Signal too low (Air)
KAM	11	11	8192	Flow sensor V2, Signal too low (Air)
KAM	11	11	16384	Flow sensor V1, Wrong flow direction
KAM	11	11	32768	Flow sensor V2, Wrong flow direction
KAM	11	15	1	Supply voltage has been cut off
KAM	11	15	2	Flow sensor error
KAM	11	15	4	Temperature sensor T2 outside measuring range
KAM	11	15	8	Temperature sensor T1 outside measuring range
KAM	11	15	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	11	15	32	Temperature sensor T3 outside measuring range
KAM	11	15	64	Leak in the cold-water system
KAM	11	15	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	11	15	256	Leak in the heating system
KAM	11	15	512	Burst in the heating system
KAM	11	15	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	11	15	2048	Flow sensor V1, Wrong meter factor
KAM	11	15	4096	Flow sensor V1, Signal too low (Air)
KAM	11	15	8192	Flow sensor V2, Signal too low (Air)
KAM	11	15	16384	Flow sensor V1, Wrong flow direction
KAM	11	15	32768	Flow sensor V2, Wrong flow direction
KAM	11	17	1	Supply voltage has been cut off
KAM	11	17	2	Flow sensor error
KAM	11	17	4	Temperature sensor T2 outside measuring range
KAM	11	17	8	Temperature sensor T1 outside measuring range
KAM	11	17	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	11	17	32	Temperature sensor T3 outside measuring range
KAM	11	17	64	Leak in the cold-water system
KAM	11	17	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	11	17	256	Leak in the heating system
KAM	11	17	512	Burst in the heating system
KAM	11	17	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	11	17	2048	Flow sensor V1, Wrong meter factor
KAM	11	17	4096	Flow sensor V1, Signal too low (Air)
KAM	11	17	8192	Flow sensor V2, Signal too low (Air)
KAM	11	17	16384	Flow sensor V1, Wrong flow direction
KAM	11	17	32768	Flow sensor V2, Wrong flow direction
KAM	12	0	1	Supply voltage has been cut off
KAM	12	0	2	Flow sensor error
KAM	12	0	4	Temperature sensor T2 outside measuring range
KAM	12	0	8	Temperature sensor T1 outside measuring range
KAM	12	0	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	12	0	32	Temperature sensor T3 outside measuring range
KAM	12	0	64	Leak in the cold-water system
KAM	12	0	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	12	0	256	Leak in the heating system
KAM	12	0	512	Burst in the heating system
KAM	12	0	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	12	0	2048	Flow sensor V1, Wrong meter factor
KAM	12	0	4096	Flow sensor V1, Signal too low (Air)
KAM	12	0	8192	Flow sensor V2, Signal too low (Air)
KAM	12	0	16384	Flow sensor V1, Wrong flow direction
KAM	12	0	32768	Flow sensor V2, Wrong flow direction
KAM	12	1	1	Supply voltage has been cut off
KAM	12	1	2	Flow sensor error
KAM	12	1	4	Temperature sensor T2 outside measuring range
KAM	12	1	8	Temperature sensor T1 outside measuring range
KAM	12	1	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	12	1	32	Temperature sensor T3 outside measuring range
KAM	12	1	64	Leak in the cold-water system
KAM	12	1	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	12	1	256	Leak in the heating system
KAM	12	1	512	Burst in the heating system
KAM	12	1	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	12	1	2048	Flow sensor V1, Wrong meter factor
KAM	12	1	4096	Flow sensor V1, Signal too low (Air)
KAM	12	1	8192	Flow sensor V2, Signal too low (Air)
KAM	12	1	16384	Flow sensor V1, Wrong flow direction
KAM	12	1	32768	Flow sensor V2, Wrong flow direction
KAM	12	5	1	Supply voltage has been cut off
KAM	12	5	2	Flow sensor error
KAM	12	5	4	Temperature sensor T2 outside measuring range
KAM	12	5	8	Temperature sensor T1 outside measuring range
KAM	12	5	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	12	5	32	Temperature sensor T3 outside measuring range
KAM	12	5	64	Leak in the cold-water system
KAM	12	5	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	12	5	256	Leak in the heating system
KAM	12	5	512	Burst in the heating system
KAM	12	5	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	12	5	2048	Flow sensor V1, Wrong meter factor
KAM	12	5	4096	Flow sensor V1, Signal too low (Air)
KAM	12	5	8192	Flow sensor V2, Signal too low (Air)
KAM	12	5	16384	Flow sensor V1, Wrong flow direction
KAM	12	5	32768	Flow sensor V2, Wrong flow direction
KAM	12	6	1	Supply voltage has been cut off
KAM	12	6	2	Flow sensor error
KAM	12	6	4	Temperature sensor T2 outside measuring range
KAM	12	6	8	Temperature sensor T1 outside measuring range
KAM	12	6	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	12	6	32	Temperature sensor T3 outside measuring range
KAM	12	6	64	Leak in the cold-water system
KAM	12	6	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	12	6	256	Leak in the heating system
KAM	12	6	512	Burst in the heating system
KAM	12	6	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	12	6	2048	Flow sensor V1, Wrong meter factor
KAM	12	6	4096	Flow sensor V1, Signal too low (Air)
KAM	12	6	8192	Flow sensor V2, Signal too low (Air)
KAM	12	6	16384	Flow sensor V1, Wrong flow direction
KAM	12	6	32768	Flow sensor V2, Wrong flow direction
KAM	12	7	1	Supply voltage has been cut off
KAM	12	7	2	Flow sensor error
KAM	12	7	4	Temperature sensor T2 outside measuring range
KAM	12	7	8	Temperature sensor T1 outside measuring range
KAM	12	7	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	12	7	32	Temperature sensor T3 outside measuring range
KAM	12	7	64	Leak in the cold-water system
KAM	12	7	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	12	7	256	Leak in the heating system
KAM	12	7	512	Burst in the heating system
KAM	12	7	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	12	7	2048	Flow sensor V1, Wrong meter factor
KAM	12	7	4096	Flow sensor V1, Signal too low (Air)
KAM	12	7	8192	Flow sensor V2, Signal too low (Air)
KAM	12	7	16384	Flow sensor V1, Wrong flow direction
KAM	12	7	32768	Flow sensor V2, Wrong flow direction
KAM	12	8	1	Supply voltage has been cut off
KAM	12	8	2	Flow sensor error
KAM	12	8	4	Temperature sensor T2 outside measuring range
KAM	12	8	8	Temperature sensor T1 outside measuring range
KAM	12	8	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	12	8	32	Temperature sensor T3 outside measuring range
KAM	12	8	64	Leak in the cold-water system
KAM	12	8	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	12	8	256	Leak in the heating system
KAM	12	8	512	Burst in the heating system
KAM	12	8	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	12	8	2048	Flow sensor V1, Wrong meter factor
KAM	12	8	4096	Flow sensor V1, Signal too low (Air)
KAM	12	8	8192	Flow sensor V2, Signal too low (Air)
KAM	12	8	16384	Flow sensor V1, Wrong flow direction
KAM	12	8	32768	Flow sensor V2, Wrong flow direction
KAM	12	11	1	Supply voltage has been cut off
KAM	12	11	2	Flow sensor error
KAM	12	11	4	Temperature sensor T2 outside measuring range
KAM	12	11	8	Temperature sensor T1 outside measuring range
KAM	12	11	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	12	11	32	Temperature sensor T3 outside measuring range
KAM	12	11	64	Leak in the cold-water system
KAM	12	11	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	12	11	256	Leak in the heating system
KAM	12	11	512	Burst in the heating system
KAM	12	11	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	12	11	2048	Flow sensor V1, Wrong meter factor
KAM	12	11	4096	Flow sensor V1, Signal too low (Air)
KAM	12	11	8192	Flow sensor V2, Signal too low (Air)
KAM	12	11	16384	Flow sensor V1, Wrong flow direction
KAM	12	11	32768	Flow sensor V2, Wrong flow direction
KAM	12	15	1	Supply voltage has been cut off
KAM	12	15	2	Flow sensor error
KAM	12	15	4	Temperature sensor T2 outside measuring range
KAM	12	15	8	Temperature sensor T1 outside measuring range
KAM	12	15	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	12	15	32	Temperature sensor T3 outside measuring range
KAM	12	15	64	Leak in the cold-water system
KAM	12	15	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	12	15	256	Leak in the heating system
KAM	12	15	512	Burst in the heating system
KAM	12	15	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	12	15	2048	Flow sensor V1, Wrong meter factor
KAM	12	15	4096	Flow sensor V1, Signal too low (Air)
KAM	12	15	8192	Flow sensor V2, Signal too low (Air)
KAM	12	15	16384	Flow sensor V1, Wrong flow direction
KAM	12	15	32768	Flow sensor V2, Wrong flow direction
KAM	12	17	1	Supply voltage has been cut off
KAM	12	17	2	Flow sensor error
KAM	12	17	4	Temperature sensor T2 outside measuring range
KAM	12	17	8	Temperature sensor T1 outside measuring range
KAM	12	17	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	12	17	32	Temperature sensor T3 outside measuring range
KAM	12	17	64	Leak in the cold-water system
KAM	12	17	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	12	17	256	Leak in the heating system
KAM	12	17	512	Burst in the heating system
KAM	12	17	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	12	17	2048	Flow sensor V1, Wrong meter factor
KAM	12	17	4096	Flow sensor V1, Signal too low (Air)
KAM	12	17	8192	Flow sensor V2, Signal too low (Air)
KAM	12	17	16384	Flow sensor V1, Wrong flow direction
KAM	12	17	32768	Flow sensor V2, Wrong flow direction
KAM	13	0	1	Supply voltage has been cut off
KAM	13	0	2	Flow sensor error
KAM	13	0	4	Temperature sensor T2 outside measuring range
KAM	13	0	8	Temperature sensor T1 outside measuring range
KAM	13	0	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	13	0	32	Temperature sensor T3 outside measuring range
KAM	13	0	64	Leak in the cold-water system
KAM	13	0	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	13	0	256	Leak in the heating system
KAM	13	0	512	Burst in the heating system
KAM	13	0	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	13	0	2048	Flow sensor V1, Wrong meter factor
KAM	13	0	4096	Flow sensor V1, Signal too low (Air)
KAM	13	0	8192	Flow sensor V2, Signal too low (Air)
KAM	13	0	16384	Flow sensor V1, Wrong flow direction
KAM	13	0	32768	Flow sensor V2, Wrong flow direction
KAM	13	1	1	Supply voltage has been cut off
KAM	13	1	2	Flow sensor error
KAM	13	1	4	Temperature sensor T2 outside measuring range
KAM	13	1	8	Temperature sensor T1 outside measuring range
KAM	13	1	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	13	1	32	Temperature sensor T3 outside measuring range
KAM	13	1	64	Leak in the cold-water system
KAM	13	1	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	13	1	256	Leak in the heating system
KAM	13	1	512	Burst in the heating system
KAM	13	1	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	13	1	2048	Flow sensor V1, Wrong meter factor
KAM	13	1	4096	Flow sensor V1, Signal too low (Air)
KAM	13	1	8192	Flow sensor V2, Signal too low (Air)
KAM	13	1	16384	Flow sensor V1, Wrong flow direction
KAM	13	1	32768	Flow sensor V2, Wrong flow direction
KAM	13	5	1	Supply voltage has been cut off
KAM	13	5	2	Flow sensor error
KAM	13	5	4	Temperature sensor T2 outside measuring range
KAM	13	5	8	Temperature sensor T1 outside measuring range
KAM	13	5	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	13	5	32	Temperature sensor T3 outside measuring range
KAM	13	5	64	Leak in the cold-water system
KAM	13	5	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	13	5	256	Leak in the heating system
KAM	13	5	512	Burst in the heating system
KAM	13	5	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	13	5	2048	Flow sensor V1, Wrong meter factor
KAM	13	5	4096	Flow sensor V1, Signal too low (Air)
KAM	13	5	8192	Flow sensor V2, Signal too low (Air)
KAM	13	5	16384	Flow sensor V1, Wrong flow direction
KAM	13	5	32768	Flow sensor V2, Wrong flow direction
KAM	13	6	1	Supply voltage has been cut off
KAM	13	6	2	Flow sensor error
KAM	13	6	4	Temperature sensor T2 outside measuring range
KAM	13	6	8	Temperature sensor T1 outside measuring range
KAM	13	6	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	13	6	32	Temperature sensor T3 outside measuring range
KAM	13	6	64	Leak in the cold-water system
KAM	13	6	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	13	6	256	Leak in the heating system
KAM	13	6	512	Burst in the heating system
KAM	13	6	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	13	6	2048	Flow sensor V1, Wrong meter factor
KAM	13	6	4096	Flow sensor V1, Signal too low (Air)
KAM	13	6	8192	Flow sensor V2, Signal too low (Air)
KAM	13	6	16384	Flow sensor V1, Wrong flow direction
KAM	13	6	32768	Flow sensor V2, Wrong flow direction
KAM	13	7	1	Supply voltage has been cut off
KAM	13	7	2	Flow sensor error
KAM	13	7	4	Temperature sensor T2 outside measuring range
KAM	13	7	8	Temperature sensor T1 outside measuring range
KAM	13	7	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	13	7	32	Temperature sensor T3 outside measuring range
KAM	13	7	64	Leak in the cold-water system
KAM	13	7	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	13	7	256	Leak in the heating system
KAM	13	7	512	Burst in the heating system
KAM	13	7	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	13	7	2048	Flow sensor V1, Wrong meter factor
KAM	13	7	4096	Flow sensor V1, Signal too low (Air)
KAM	13	7	8192	Flow sensor V2, Signal too low (Air)
KAM	13	7	16384	Flow sensor V1, Wrong flow direction
KAM	13	7	32768	Flow sensor V2, Wrong flow direction
KAM	13	8	1	Supply voltage has been cut off
KAM	13	8	2	Flow sensor error
KAM	13	8	4	Temperature sensor T2 outside measuring range
KAM	13	8	8	Temperature sensor T1 outside measuring range
KAM	13	8	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	13	8	32	Temperature sensor T3 outside measuring range
KAM	13	8	64	Leak in the cold-water system
KAM	13	8	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	13	8	256	Leak in the heating system
KAM	13	8	512	Burst in the heating system
KAM	13	8	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	13	8	2048	Flow sensor V1, Wrong meter factor
KAM	13	8	4096	Flow sensor V1, Signal too low (Air)
KAM	13	8	8192	Flow sensor V2, Signal too low (Air)
KAM	13	8	16384	Flow sensor V1, Wrong flow direction
KAM	13	8	32768	Flow sensor V2, Wrong flow direction
KAM	13	11	1	Supply voltage has been cut off
KAM	13	11	2	Flow sensor error
KAM	13	11	4	Temperature sensor T2 outside measuring range
KAM	13	11	8	Temperature sensor T1 outside measuring range
KAM	13	11	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	13	11	32	Temperature sensor T3 outside measuring range
KAM	13	11	64	Leak in the cold-water system
KAM	13	11	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	13	11	256	Leak in the heating system
KAM	13	11	512	Burst in the heating system
KAM	13	11	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	13	11	2048	Flow sensor V1, Wrong meter factor
KAM	13	11	4096	Flow sensor V1, Signal too low (Air)
KAM	13	11	8192	Flow sensor V2, Signal too low (Air)
KAM	13	11	16384	Flow sensor V1, Wrong flow direction
KAM	13	11	32768	Flow sensor V2, Wrong flow direction
KAM	13	15	1	Supply voltage has been cut off
KAM	13	15	2	Flow sensor error
KAM	13	15	4	Temperature sensor T2 outside measuring range
KAM	13	15	8	Temperature sensor T1 outside measuring range
KAM	13	15	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	13	15	32	Temperature sensor T3 outside measuring range
KAM	13	15	64	Leak in the cold-water system
KAM	13	15	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	13	15	256	Leak in the heating system
KAM	13	15	512	Burst in the heating system
KAM	13	15	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	13	15	2048	Flow sensor V1, Wrong meter factor
KAM	13	15	4096	Flow sensor V1, Signal too low (Air)
KAM	13	15	8192	Flow sensor V2, Signal too low (Air)
KAM	13	15	16384	Flow sensor V1, Wrong flow direction
KAM	13	15	32768	Flow sensor V2, Wrong flow direction
KAM	13	17	1	Supply voltage has been cut off
KAM	13	17	2	Flow sensor error
KAM	13	17	4	Temperature sensor T2 outside measuring range
KAM	13	17	8	Temperature sensor T1 outside measuring range
KAM	13	17	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	13	17	32	Temperature sensor T3 outside measuring range
KAM	13	17	64	Leak in the cold-water system
KAM	13	17	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	13	17	256	Leak in the heating system
KAM	13	17	512	Burst in the heating system
KAM	13	17	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	13	17	2048	Flow sensor V1, Wrong meter factor
KAM	13	17	4096	Flow sensor V1, Signal too low (Air)
KAM	13	17	8192	Flow sensor V2, Signal too low (Air)
KAM	13	17	16384	Flow sensor V1, Wrong flow direction
KAM	13	17	32768	Flow sensor V2, Wrong flow direction
KAM	22	0	1	Supply voltage has been cut off
KAM	22	0	2	Flow sensor error
KAM	22	0	4	Temperature sensor T2 outside measuring range
KAM	22	0	8	Temperature sensor T1 outside measuring range
KAM	22	0	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	22	0	32	Temperature sensor T3 outside measuring range
KAM	22	0	64	Leak in the cold-water system
KAM	22	0	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	22	0	256	Leak in the heating system
KAM	22	0	512	Burst in the heating system
KAM	22	0	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	22	0	2048	Flow sensor V1, Wrong meter factor
KAM	22	0	4096	Flow sensor V1, Signal too low (Air)
KAM	22	0	8192	Flow sensor V2, Signal too low (Air)
KAM	22	0	16384	Flow sensor V1, Wrong flow direction
KAM	22	0	32768	Flow sensor V2, Wrong flow direction
KAM	22	1	1	Supply voltage has been cut off
KAM	22	1	2	Flow sensor error
KAM	22	1	4	Temperature sensor T2 outside measuring range
KAM	22	1	8	Temperature sensor T1 outside measuring range
KAM	22	1	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	22	1	32	Temperature sensor T3 outside measuring range
KAM	22	1	64	Leak in the cold-water system
KAM	22	1	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	22	1	256	Leak in the heating system
KAM	22	1	512	Burst in the heating system
KAM	22	1	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	22	1	2048	Flow sensor V1, Wrong meter factor
KAM	22	1	4096	Flow sensor V1, Signal too low (Air)
KAM	22	1	8192	Flow sensor V2, Signal too low (Air)
KAM	22	1	16384	Flow sensor V1, Wrong flow direction
KAM	22	1	32768	Flow sensor V2, Wrong flow direction
KAM	22	5	1	Supply voltage has been cut off
KAM	22	5	2	Flow sensor error
KAM	22	5	4	Temperature sensor T2 outside measuring range
KAM	22	5	8	Temperature sensor T1 outside measuring range
KAM	22	5	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	22	5	32	Temperature sensor T3 outside measuring range
KAM	22	5	64	Leak in the cold-water system
KAM	22	5	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	22	5	256	Leak in the heating system
KAM	22	5	512	Burst in the heating system
KAM	22	5	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	22	5	2048	Flow sensor V1, Wrong meter factor
KAM	22	5	4096	Flow sensor V1, Signal too low (Air)
KAM	22	5	8192	Flow sensor V2, Signal too low (Air)
KAM	22	5	16384	Flow sensor V1, Wrong flow direction
KAM	22	5	32768	Flow sensor V2, Wrong flow direction
KAM	22	6	1	Supply voltage has been cut off
KAM	22	6	2	Flow sensor error
KAM	22	6	4	Temperature sensor T2 outside measuring range
KAM	22	6	8	Temperature sensor T1 outside measuring range
KAM	22	6	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	22	6	32	Temperature sensor T3 outside measuring range
KAM	22	6	64	Leak in the cold-water system
KAM	22	6	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	22	6	256	Leak in the heating system
KAM	22	6	512	Burst in the heating system
KAM	22	6	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	22	6	2048	Flow sensor V1, Wrong meter factor
KAM	22	6	4096	Flow sensor V1, Signal too low (Air)
KAM	22	6	8192	Flow sensor V2, Signal too low (Air)
KAM	22	6	16384	Flow sensor V1, Wrong flow direction
KAM	22	6	32768	Flow sensor V2, Wrong flow direction
KAM	22	7	1	Supply voltage has been cut off
KAM	22	7	2	Flow sensor error
KAM	22	7	4	Temperature sensor T2 outside measuring range
KAM	22	7	8	Temperature sensor T1 outside measuring range
KAM	22	7	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	22	7	32	Temperature sensor T3 outside measuring range
KAM	22	7	64	Leak in the cold-water system
KAM	22	7	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	22	7	256	Leak in the heating system
KAM	22	7	512	Burst in the heating system
KAM	22	7	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	22	7	2048	Flow sensor V1, Wrong meter factor
KAM	22	7	4096	Flow sensor V1, Signal too low (Air)
KAM	22	7	8192	Flow sensor V2, Signal too low (Air)
KAM	22	7	16384	Flow sensor V1, Wrong flow direction
KAM	22	7	32768	Flow sensor V2, Wrong flow direction
KAM	22	8	1	Supply voltage has been cut off
KAM	22	8	2	Flow sensor error
KAM	22	8	4	Temperature sensor T2 outside measuring range
KAM	22	8	8	Temperature sensor T1 outside measuring range
KAM	22	8	16	Flow sensor V1, Datacomm error, signal too low or wrong flow direction
KAM	22	8	32	Temperature sensor T3 outside measuring range
KAM	22	8	64	Leak in the cold-water system
KAM	22	8	128	Time for battery change (or Flow sensor V2, Wrong meter factor)
KAM	22	8	256	Leak in the heating system
KAM	22	8	512	Burst in the heating system
KAM	22	8	1024	Flow sensor V2, Datacomm error, signal too low or wrong flow direction
KAM	22	8	2048	Flow sensor V1, Wrong meter factor
KAM	22	8	4096	Flow sensor V1, Signal too low (Air)
KAM	22	8	8192	Flow sensor V2, Signal too low (Air)
KAM	22	8	16384	Flow sensor V1, Wrong flow direction
KAM	22	8	32768	Flow sensor V2, Wrong flow direction
KAM	22	11	1	Supply voltage has been cut off
KAM	22	11	2	Flow sensor error
KAM	22	11	4	Temperature sensor T2 outside measuring range
KAM	22	11	8	Temperature sensor T1 outside measuring range
